Rk,Team,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
1,Golden State Warriors,$137494845,$128341465,$85953438,$43006362,$45780966,
2,Cleveland Cavaliers,$137082833,$122521377,$80319306,$3872215,,
3,Oklahoma City Thunder,$134294056,$137538745,$88281978,$72478103,$43848000,$46662000
4,Miami Heat,$128182424,$147360943,$134274753,$40763735,$11600000,
5,Washington Wizards,$125179329,$124797665,$107593646,$98065014,$43848000,$46872000
6,Portland Trail Blazers,$122197920,$112000975,$110128053,$74810921,$2844429,$2844429
7,New Orleans Pelicans,$122034101,$94827090,$88743886,$54882886,$27020000,
8,Milwaukee Bucks,$119884837,$103572152,$79590280,$46120488,$1865547,
9,Los Angeles Clippers,$119297226,$114158143,$60087563,$36595996,$38957028,
10,Minnesota Timberwolves,$117468554,$121473395,$85458080,$51359486,$31310000,$33330000
11,Toronto Raptors,$117429381,$126006672,$130161111,$42478142,$11615328,
12,Charlotte Hornets,$117316719,$118033343,$73690297,$47891851,,
13,Houston Rockets,$117152769,$80442936,$88592019,$50546487,$43848000,$46872000
14,Detroit Pistons,$116292753,$106079884,$76018582,$34025601,,
15,San Antonio Spurs,$116153554,$99471628,$80028138,$16801998,,
16,Memphis Grizzlies,$112398102,$103259866,$86446874,$34504132,,
17,Utah Jazz,$111201646,$82027785,$44179613,$46126479,,
18,Boston Celtics,$109926833,$107433526,$104965421,$52464808,$92857,$92857
19,Denver Nuggets,$106868033,$111769842,$78900161,$19160714,$20482143,
20,New York Knicks,$106747886,$95427561,$65964700,$25151578,,
21,Los Angeles Lakers,$104408568,$53915756,$52141065,$18057119,,
22,Orlando Magic,$101358567,$84558897,$54708293,$24362566,,
23,Philadelphia 76ers,$99092999,$70593287,$64475179,$57382829,$44285471,$33330000
24,Atlanta Hawks,$99002495,$70622817,$56042190,$19637302,,
25,Brooklyn Nets,$95722044,$86278705,$47399293,$3909902,,
26,Sacramento Kings,$94838784,$84929078,$55745867,$17105787,,
27,Indiana Pacers,$93605043,$91270851,$31206755,$27572225,$2245400,
28,Phoenix Suns,$90144813,$79966259,$52303240,$20680242,$12690000,
29,Dallas Mavericks,$86616514,$69610040,$39825527,$5686677,,
30,Chicago Bulls,$84046990,$62237923,$23859211,$14260528,